,id,name
0,1111027380930,新景家园东区
1,1111027381005,兴隆都市馨园
2,1111027375114,胡家园小区
3,1111027373720,豆角胡同
4,1111027376735,定安里
5,1111027374220,富贵园三区
6,1111027378868,前门东大街
7,1111027375215,和平新城一期
8,1111027374691,国瑞城中区
9,1111027374519,冠城名敦道
10,1111027382283,左安浦园
11,1111027374080,东直门内大街
12,1111027380931,新景家园西区
13,1111027377351,金世纪嘉园
14,1111027374216,富贵园二区
15,1111027380911,小黄庄一区
16,1111027382190,远洋德邑
17,1111027379569,沙滩北街乙2号院
18,1111027375265,海晟名苑北区
19,1111027375663,安外花园
20,1111027374081,东直门南大街
21,1111027375142,华龙美晟
22,1111027380242,万国城MOMA
23,1111027376670,朝阳门南小街
24,1111027382485,中海紫御公馆
25,1111027381407,新永外文化用品商城
26,1111027376769,东厂胡同
27,1111027381096,西青年沟
28,1111027376918,东环居苑
29,1111027375204,和平里三区
30,1111027378679,南竹杆胡同
31,1111027380288,外交部街33号院
32,1111027373685,东花市北里中区
33,1111027373683,东花市北里东区
34,1111027382286,左安漪园
35,1111027381477,新中西街
36,1111027380567,新奥洋房
37,1111027376748,豆瓣胡同
38,1111027377077,交道口东大街
39,1111027378063,礼士胡同甲66号院
40,1111027373862,东四六条
41,1111027376666,朝阳门北小街
42,1111027375430,海运仓小区
43,1111027375998,保利蔷薇
44,1111043316752,花市枣苑三期
45,1111027374074,民安小区东直门北中街
46,1111027375829,北官厅胡同甲二号院
47,1111027373785,东棉花胡同
48,1111027374239,法华南里
49,1111027379462,上龙西里
50,1111027377932,绿景馨园
51,1111027375828,北官厅胡同2号院
52,1111027376599,崇文门东大街
53,1111027377312,金桥国际
54,1111027382420,竹杆胡同
55,1111027375280,海晟名苑南区
56,1111027375203,和平里七区
57,1111027376916,东后河沿
58,1111027382668,赵堂子胡同
59,1111027377413,景泰西里西区
60,1111027376042,板桥胡同
61,1111027375201,和平里九区
62,1111027378417,民旺园
63,1111027375657,安外大街
64,1111027377802,林调社区
65,1111027380897,小黄庄二区
66,1111027375579,安定门东大街
67,1111027379801,土儿胡同
68,1111027375206,和平里五区
69,1111027378578,南水关
70,1111027378877,前门前
71,1111027376862,东方银座
72,1111027378391,美术馆后街
